first_name,last_name,round,teetime,pos,round1.topar,topar,total,round1.total,hole01,hole02,hole03,hole04,hole05,hole06,hole07,hole08,hole09,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,round2.topar,round2.total,round3.topar,round3.total,round4.topar,round4.total
Hideki,Matsuyama,2,7:52 AM,T32,NA,-3,285,NA,4,4,4,3,4,3,4,4,4,4,5,2,6,4,4,4,4,3,E,70,NA,NA,NA,NA
Gary,Woodland,2,7:52 AM*,T32,NA,-3,285,NA,4,5,4,2,4,3,4,4,4,4,5,3,5,5,5,3,4,3,-2,71,NA,NA,NA,NA
Charles,Howell III,2,8:03 AM*,T32,NA,-3,285,NA,4,4,4,3,3,3,4,4,3,4,5,3,3,4,5,3,4,4,-3,67,NA,NA,NA,NA
Kevin,Tway,2,7:41 AM,T36,NA,-2,286,NA,5,5,4,3,5,3,4,4,4,4,4,3,4,4,4,3,4,4,+1,71,NA,NA,NA,NA
Henrik,Stenson,2,7:52 AM,T36,NA,-2,286,NA,4,5,3,3,5,3,5,4,4,4,4,3,4,4,5,3,3,6,+1,72,NA,NA,NA,NA
Tommy,Fleetwood,2,8:03 AM,T36,NA,-2,286,NA,5,4,3,4,4,4,4,5,4,4,4,2,6,4,4,3,4,3,+2,71,NA,NA,NA,NA
Jimmy,Walker,2,8:03 AM*,T36,NA,-2,286,NA,4,6,4,3,4,3,4,5,4,4,4,3,4,4,5,3,4,4,-2,72,NA,NA,NA,NA
Alvaro,Ortiz,2,8:14 AM*,T36,NA,-2,286,NA,4,5,3,4,4,4,4,5,4,5,5,3,5,3,3,3,4,3,-3,71,NA,NA,NA,NA
Patrick,Reed,2,8:25 AM*,T36,NA,-2,286,NA,4,4,3,4,4,4,4,5,4,4,4,3,4,4,5,3,3,4,-3,70,NA,NA,NA,NA
Rafael,Cabrera Bello,2,8:47 AM*,T36,NA,-2,286,NA,4,5,3,3,3,3,4,5,4,5,4,3,5,4,4,3,4,4,-4,70,NA,NA,NA,NA
Keegan,Bradley,2,7:52 AM*,T43,NA,-1,287,NA,4,4,4,2,5,3,6,4,5,3,4,3,4,4,4,2,3,4,E,68,NA,NA,NA,NA
Keith,Mitchell,2,8:25 AM*,T43,NA,-1,287,NA,4,5,4,3,4,3,2,4,5,4,5,3,5,5,5,3,5,5,-3,74,NA,NA,NA,NA
Haotong,Li,2,8:58 AM*,T43,NA,-1,287,NA,4,5,4,3,4,4,5,4,4,4,4,3,5,4,5,3,5,4,-4,74,NA,NA,NA,NA
